ExpID,,Plot,Date,Depth From,Depth To,ALUM,BD,BORO,CALC,CEC,CHLO,COPP,ELEC,IRON,MAGN,MANG,NH4,NO3,ORGC,PH,PHOS,POTA,RESID,RESIDCN,SODI,SULF,SWC,TOTN,ZINC
3,,204,28/01/1993,120,150,,1.5,,,,,,,,,,1.399999976,1.100000024,,,,,,,,,0.391499996,,
3,,204,3/3/1993,0,20,,1,,,,,,,,,,1.299999952,4,,,,,,,,,0.222000003,,
3,,204,3/3/1993,20,40,,1.299999952,,,,,,,,,,0.5,5,,,,,,,,,0.283399999,,
3,,204,3/3/1993,40,60,,1.399999976,,,,,,,,,,0.200000003,3.900000095,,,,,,,,,0.334600002,,
3,,204,3/3/1993,60,90,,1.299999952,,,,,,,,,,0.200000003,2.599999905,,,,,,,,,0.332800001,,
3,,204,4/6/1993,0,20,,1,,,,,,,,,,0.400000006,2.400000095,,,,,,,,,0.243000001,,
3,,204,4/6/1993,20,40,,1.299999952,,,,,,,,,,0.200000003,4.099999905,,,,,,,,,0.302899987,,
3,,204,4/6/1993,40,60,,1.399999976,,,,,,,,,,0,4.199999809,,,,,,,,,0.331800014,,
3,,204,4/6/1993,60,90,,1.299999952,,,,,,,,,,0,2.799999952,,,,,,,,,0.331499994,,
3,,204,4/6/1993,90,120,,1.399999976,,,,,,,,,,0,1.899999976,,,,,,,,,0.380800009,,
3,,204,11/11/1993,0,20,,1.070000052,,,,,,,,,,0.5,1,,,,,,,,,,,
3,,204,11/11/1993,20,40,,1.299999952,,,,,,,,,,0.300000012,0.5,,,,,,,,,,,
3,,204,11/11/1993,40,60,,1.429999948,,,,,,,,,,0.300000012,0.200000003,,,,,,,,,,,
3,,204,11/11/1993,60,90,,1.370000005,,,,,,,,,,0.100000001,0.400000006,,,,,,,,,,,
3,,204,11/11/1993,90,120,,1.580000043,,,,,,,,,,0,0.5,,,,,,,,,,,
3,,204,11/11/1993,120,150,,1.639999986,,,,,,,,,,0,0.5,,,,,,,,,,,
3,,205,21/07/1991,0,20,0.01,,0.02,4.869999886,6.329999924,25,1.899999976,0.050000001,189,1.220000029,37,,4,1,5.599999905,120,0.140000001,,,0.090000004,6,,,3.299999952
3,,205,20/07/1992,0,20,,1.200000048,,,,,,,,,,5.699999809,3.400000095,,,,,,,,,0.043200001,,
3,,205,20/07/1992,20,40,,1.399999976,,,,,,,,,,3.200000048,2.700000048,,,,,,,,,0.238000005,,
3,,205,20/07/1992,40,60,,1.399999976,,,,,,,,,,0.699999988,1.700000048,,,,,,,,,0.284200013,,
3,,205,20/07/1992,60,90,,1.600000024,,,,,,,,,,0,1,,,,,,,,,0.385600001,,
3,,205,26/10/1992,0,20,,1.200000048,,,,,,,,,,64.09999847,3.299999952,,,,,,,,,0.136800006,,
3,,205,26/10/1992,20,40,,1.399999976,,,,,,,,,,10,6.599999905,,,,,,,,,0.1778,,
3,,205,26/10/1992,40,60,,1.399999976,,,,,,,,,,1.399999976,2.400000095,,,,,,,,,0.181999996,,
3,,205,26/10/1992,60,90,,1.600000024,,,,,,,,,,0.699999988,2.5,,,,,,,,,0.276800007,,
3,,205,26/10/1992,90,120,,1.799999952,,,,,,,,,,0.300000012,2.900000095,,,,,,,,,0.42840001,,
3,,205,26/10/1992,120,150,,1.700000048,,,,,,,,,,0.300000012,0.200000003,,,,,,,,,0.506600022,,
